time,status,ear,mar,tilt
2026-04-23 14:54:18,DROWSY,0.597,0.019,19.98
2026-04-23 14:54:21,DROWSY,0.099,0.022,5.86
2026-04-23 14:56:27,DROWSY,0.322,0.015,18.95
2026-04-23 14:56:32,DROWSY,0.253,0.015,16.6
2026-04-23 14:56:36,DROWSY,0.224,0.016,2.1
2026-04-23 14:56:39,DROWSY,0.258,0.016,6.06
2026-04-23 14:56:41,DROWSY,0.277,0.008,0.52
2026-04-23 14:56:44,DROWSY,0.203,0.022,6.56
2026-04-23 14:56:46,DROWSY,0.269,0.018,2.78
2026-04-23 14:56:48,DROWSY,0.203,0.501,1.46
2026-04-23 14:56:51,DROWSY,0.27,0.015,12.48
2026-04-27 20:33:24,DROWSY,0.217,0.0,9.2
2026-04-27 20:33:28,DROWSY,0.241,0.008,6.99
2026-04-27 20:33:30,DROWSY,0.241,0.008,6.4
2026-04-27 20:33:32,DROWSY,0.227,0.0,5.39
2026-04-27 20:33:38,DROWSY,0.202,0.0,0.54
2026-04-27 20:33:40,DROWSY,0.315,0.0,19.69
2026-04-27 20:33:45,DROWSY,0.082,0.0,13.9
2026-04-27 20:33:59,DROWSY,0.268,0.013,1.59
2026-04-27 20:34:00,DROWSY,0.28,0.03,5.71
2026-04-27 20:34:02,DROWSY,0.26,0.03,4.01
2026-04-27 20:34:04,DROWSY,0.247,0.007,3.09
2026-04-27 20:34:05,DROWSY,0.271,0.008,2.08
2026-04-27 20:34:07,DROWSY,0.285,0.0,2.18
2026-04-27 20:34:09,DROWSY,0.271,0.007,1.07
2026-04-27 20:34:11,DROWSY,0.299,0.0,2.65
2026-04-27 20:34:13,DROWSY,0.267,0.008,8.28
2026-04-27 20:34:15,DROWSY,0.267,0.0,4.51
2026-04-27 20:34:16,DROWSY,0.246,0.0,5.01
2026-04-27 20:34:18,DROWSY,0.24,0.007,5.42
2026-04-27 20:34:19,DROWSY,0.233,0.018,4.89
2026-04-27 20:34:21,DROWSY,0.269,0.018,3.04
2026-04-27 20:34:23,DROWSY,0.258,0.007,4.05
2026-04-27 20:34:27,DROWSY,0.019,0.025,6.68
2026-04-27 20:34:37,DROWSY,0.024,0.015,4.68
2026-04-27 20:34:42,DROWSY,0.237,0.0,4.01
2026-04-27 20:34:44,DROWSY,0.231,0.015,3.61
2026-04-27 20:34:46,DROWSY,0.235,0.008,3.07
2026-04-27 20:34:47,DROWSY,0.245,0.0,3.67
2026-04-27 20:34:49,DROWSY,0.242,0.015,2.56
2026-04-27 20:34:50,DROWSY,0.234,0.007,2.58
2026-04-27 20:34:53,DROWSY,0.232,0.0,2.99
2026-04-27 20:34:54,DROWSY,0.245,0.019,2.89
2026-04-27 20:34:56,DROWSY,0.228,0.026,3.28
2026-04-27 20:34:59,DROWSY,0.213,0.015,3.37
2026-04-27 20:35:03,DROWSY,0.243,0.015,5.19
2026-04-27 20:35:04,DROWSY,0.211,0.803,4.54
2026-04-27 20:35:06,DROWSY,0.09,0.558,3.18
2026-04-27 20:35:08,DROWSY,0.227,0.015,12.14
2026-04-27 20:35:12,DROWSY,0.232,0.027,7.97
2026-04-27 20:35:15,DROWSY,0.06,0.072,6.28
2026-04-27 20:35:19,DROWSY,0.245,0.015,6.1
2026-04-27 20:35:22,DROWSY,0.217,0.101,3.39
2026-04-27 20:35:36,DROWSY,0.251,0.0,4.76
2026-04-27 20:35:38,DROWSY,0.25,0.088,12.17
2026-04-27 20:35:40,DROWSY,0.267,0.021,2.39
2026-04-27 20:35:42,DROWSY,0.235,0.026,5.41
2026-04-27 20:35:44,DROWSY,0.292,0.018,0.58
2026-04-27 20:35:47,DROWSY,0.287,0.027,1.17
2026-04-27 20:38:53,DROWSY,0.088,0.011,13.08
2026-04-27 20:40:24,DROWSY,0.015,0.015,5.55
2026-04-27 20:41:08,DROWSY,0.086,0.013,4.61
2026-06-17 19:42:10,DROWSY,0.201,0.018,18.61
2026-06-17 19:43:11,DROWSY,0.2,0.223,0.95
2026-06-17 19:51:52,DROWSY,0.058,0.019,13.76
